ticker,name,trades,sector
251270,넷마블,6,통신/미디어/엔터
000100,유한양행,6,제약/바이오/헬스케어
000270,기아,6,자동차/부품
093050,LF,6,미분류
001040,CJ,6,지주/기타
000720,현대건설,6,건설/건자재
139480,이마트,6,유통/소비재/레저
037620,미래에셋증권,6,금융
000990,DB하이텍,6,IT/전자/반도체
097230,HJ중공업,6,중공업/조선/기계
000140,하이트진로홀딩스,4,유통/소비재/레저
105630,한세실업,4,미분류
185750,종근당,4,제약/바이오/헬스케어
097950,CJ제일제당,4,음식료
000880,한화,4,지주/기타
096770,SK이노베이션,4,미분류
271560,오리온,4,미분류
086790,하나금융지주,4,금융
000670,영풍,2,미분류
000810,삼성화재해상보험,2,금융
000080,하이트진로,2,유통/소비재/레저
000120,CJ대한통운,2,지주/기타
000660,SK하이닉스,2,IT/전자/반도체
115390,락앤락,2,미분류
161890,한국콜마,2,미분류
000210,DL,2,미분류
267250,HD현대,2,미분류
068870,LG생명과학,2,제약/바이오/헬스케어
