year,date,ticker,name,status
2010,20100701,000020,동화약품,ok
2010,20100701,000050,경방,ok
2010,20100701,000070,삼양사,ok
2010,20100701,000100,유한양행,ok
2010,20100701,000120,대한통운,ok
2010,20100701,000140,하이트홀딩스,ok
2010,20100701,000150,두산,ok
2010,20100701,000210,대림산업,ok
2010,20100701,000230,일동제약,ok
2010,20100701,000240,한국타이어,ok
2010,20100701,000270,기아차,ok
2010,20100701,000480,조선내화,ok
2010,20100701,000640,동아제약,ok
2010,20100701,000660,하이닉스,ok
2010,20100701,000670,영풍,ok
2010,20100701,000700,한진해운홀딩스,ok
2010,20100701,000720,현대건설,ok
2010,20100701,000810,삼성화재,ok
2010,20100701,000830,삼성물산,ok
2010,20100701,000880,한화,ok
2010,20100701,000990,동부하이텍,ok
2010,20100701,001040,CJ,ok
2010,20100701,001060,중외제약,ok
2010,20100701,001120,LG상사,ok
2010,20100701,001130,대한제분,ok
2010,20100701,001210,금호전기,ok
2010,20100701,001230,동국제강,ok
2010,20100701,001300,제일모직,ok
2010,20100701,001430,세아베스틸,ok
2010,20100701,001440,대한전선,ok
2010,20100701,001520,동양메이저,ok
2010,20100701,001630,종근당,ok
2010,20100701,001680,대상,ok
2010,20100701,001740,SK네트웍스,ok
2010,20100701,001790,대한제당,ok
2010,20100701,001800,오리온,ok
2010,20100701,001940,KISCO홀딩스,ok
2010,20100701,002020,코오롱,ok
2010,20100701,002030,아세아시멘트,ok
2010,20100701,002240,고려제강,ok
2010,20100701,002270,롯데삼강,ok
2010,20100701,002300,한국제지,ok
2010,20100701,002350,넥센타이어,ok
2010,20100701,002380,KCC,ok
2010,20100701,002390,한독약품,ok
2010,20100701,002790,태평양,ok
2010,20100701,003000,부광약품,ok
2010,20100701,003030,세아제강,ok
2010,20100701,003120,일성신약,ok
2010,20100701,003190,알앤엘바이오,ok
2010,20100701,003240,태광산업,ok
2010,20100701,003300,한일시멘트,ok
2010,20100701,003410,쌍용양회,ok
2010,20100701,003450,현대증권,ok
2010,20100701,003480,한진중공업홀딩스,ok
2010,20100701,003490,대한항공,ok
2010,20100701,003520,영진약품,ok
2010,20100701,003550,LG,ok
2010,20100701,003570,S&T중공업,ok
2010,20100701,003600,SK,ok
2010,20100701,003640,유니온스틸,ok
2010,20100701,003920,남양유업,ok
2010,20100701,003940,삼양제넥스,ok
2010,20100701,004000,삼성정밀화학,ok
2010,20100701,004020,현대제철,ok
2010,20100701,004130,대덕GDS,ok
2010,20100701,004150,한솔제지,ok
2010,20100701,004170,신세계,ok
2010,20100701,004370,농심,ok
2010,20100701,004430,송원산업,ok
2010,20100701,004490,세방전지,ok
2010,20100701,004710,한솔LCD,ok
2010,20100701,004800,효성,ok
2010,20100701,004940,외환은행,ok
2010,20100701,004990,롯데제과,ok
2010,20100701,005090,삼광유리,ok
2010,20100701,005180,빙그레,ok
2010,20100701,005270,대구은행,ok
2010,20100701,005280,부산은행,ok
2010,20100701,005300,롯데칠성,ok
2010,20100701,005380,현대차,ok
2010,20100701,005490,POSCO,ok
2010,20100701,005500,삼진제약,ok
2010,20100701,005680,삼영전자,ok
2010,20100701,005930,삼성전자,ok
2010,20100701,005940,우리투자증권,ok
2010,20100701,006120,SK케미칼,ok
2010,20100701,006260,LS,ok
2010,20100701,006280,녹십자,ok
2010,20100701,006360,GS건설,ok
2010,20100701,006380,카프로,ok
2010,20100701,006400,삼성SDI,ok
2010,20100701,006650,대한유화,ok
2010,20100701,006800,대우증권,ok
2010,20100701,007310,오뚜기,ok
2010,20100701,007340,동아타이어,ok
2010,20100701,007570,일양약품,ok
2010,20100701,008000,웅진케미칼,ok
2010,20100701,008060,대덕전자,ok
2010,20100701,008730,율촌화학,ok
2010,20100701,008930,한미약품,ok
2010,20100701,009150,삼성전기,ok
2010,20100701,009200,무림페이퍼,ok
2010,20100701,009290,광동제약,ok
2010,20100701,009540,현대중공업,ok
2010,20100701,009580,무림P&P,ok
2010,20100701,009680,모토닉,ok
2010,20100701,009720,전기초자,ok
2010,20100701,009830,한화케미칼,ok
2010,20100701,010060,OCI,ok
2010,20100701,010120,LS산전,ok
2010,20100701,010130,고려아연,ok
2010,20100701,010140,삼성중공업,ok
2010,20100701,010520,현대하이스코,ok
2010,20100701,010620,현대미포조선,ok
2010,20100701,010950,S-Oil,ok
2010,20100701,011070,LG이노텍,ok
2010,20100701,011170,호남석유,ok
2010,20100701,011200,현대상선,ok
2010,20100701,011780,금호석유,ok
2010,20100701,011790,SKC,ok
2010,20100701,011810,STX,ok
2010,20100701,012330,현대모비스,ok
2010,20100701,012450,삼성테크윈,ok
2010,20100701,012630,현대산업,ok
2010,20100701,012750,에스원,ok
2010,20100701,014820,동원시스템즈,ok
2010,20100701,014830,유니드,ok
2010,20100701,015590,대경기계,ok
2010,20100701,015760,한국전력,ok
2010,20100701,016360,삼성증권,ok
2010,20100701,016380,동부제철,ok
2010,20100701,016800,퍼시스,ok
2010,20100701,017670,SK텔레콤,ok
2010,20100701,017800,현대엘리베이,ok
2010,20100701,017960,한국카본,ok
2010,20100701,018880,한라공조,ok
2010,20100701,019680,대교,ok
2010,20100701,020000,한섬,ok
2010,20100701,021240,웅진코웨이,ok
2010,20100701,023530,롯데쇼핑,ok
2010,20100701,024110,기업은행,ok
2010,20100701,025000,KPX케미칼,ok
2010,20100701,025540,한국단자,ok
2010,20100701,025850,KPX화인케미칼,ok
2010,20100701,025860,남해화학,ok
2010,20100701,028050,삼성엔지니어링,ok
2010,20100701,028670,STX팬오션,ok
2010,20100701,029530,신도리코,ok
2010,20100701,029780,삼성카드,ok
2010,20100701,030000,제일기획,ok
2010,20100701,030200,KT,ok
2010,20100701,032640,LG텔레콤,ok
2010,20100701,033780,KT&G,ok
2010,20100701,034020,두산중공업,ok
2010,20100701,034120,SBS,ok
2010,20100701,034220,LG디스플레이,ok
2010,20100701,035250,강원랜드,ok
2010,20100701,035420,NHN,ok
2010,20100701,036460,한국가스공사,ok
2010,20100701,036570,엔씨소프트,ok
2010,20100701,037620,미래에셋증권,ok
2010,20100701,042660,대우조선해양,ok
2010,20100701,042670,두산인프라코어,ok
2010,20100701,047040,대우건설,ok
2010,20100701,047050,대우인터내셔널,ok
2010,20100701,051310,성진지오텍,ok
2010,20100701,051900,LG생활건강,ok
2010,20100701,051910,LG화학,ok
2010,20100701,053000,우리금융,ok
2010,20100701,055550,신한지주,ok
2010,20100701,064420,케이피케미칼,ok
2010,20100701,064960,S&T대우,ok
2010,20100701,066570,LG전자,ok
2010,20100701,067250,STX조선해양,ok
2010,20100701,068870,LG생명과학,ok
2010,20100701,069260,휴켐스,ok
2010,20100701,069620,대웅제약,ok
2010,20100701,069960,현대백화점,ok
2010,20100701,071050,한국금융지주,ok
2010,20100701,077970,STX엔진,ok
2010,20100701,078930,GS,ok
2010,20100701,084010,대한제강,ok
2010,20100701,085310,엔케이,ok
2010,20100701,086280,글로비스,ok
2010,20100701,086790,하나금융지주,ok
2010,20100701,090430,아모레퍼시픽,ok
2010,20100701,091090,세원셀론텍,ok
2010,20100701,093050,LG패션,ok
2010,20100701,093370,후성,ok
2010,20100701,096770,SK에너지,ok
2010,20100701,097230,한진중공업,ok
2010,20100701,097950,CJ제일제당,ok
2010,20100701,100840,S&TC,ok
2010,20100701,103140,풍산,ok
2010,20100701,103150,하이트맥주,ok
2010,20100701,103590,일진전기,ok
2010,20100701,104700,한국철강,ok
2010,20100701,105560,KB금융,ok
2010,20100701,108670,LG하우시스,ok
