year,date,ticker,name,status
2010,20100701,005930,삼성전자,ok
2010,20100701,005490,POSCO,ok
2010,20100701,005380,현대차,ok
2010,20100701,055550,신한지주,ok
2010,20100701,051910,LG화학,ok
2010,20100701,015760,한국전력,ok
2010,20100701,012330,현대모비스,ok
2010,20100701,105560,KB금융,ok
2010,20100701,009540,현대중공업,ok
2010,20100701,000660,하이닉스,ok
2010,20100701,034220,LG디스플레이,ok
2010,20100701,066570,LG전자,ok
2010,20100701,017670,SK텔레콤,ok
2010,20100701,000270,기아차,ok
2010,20100701,030200,KT,ok
2010,20100701,053000,우리금융,ok
2010,20100701,003550,LG,ok
2010,20100701,009150,삼성전기,ok
2010,20100701,023530,롯데쇼핑,ok
2010,20100701,004170,신세계,ok
2010,20100701,096770,SK에너지,ok
2010,20100701,000810,삼성화재,ok
2010,20100701,035420,NHN,ok
2010,20100701,033780,KT&G,ok
2010,20100701,000830,삼성물산,ok
2010,20100701,004940,외환은행,ok
2010,20100701,034020,두산중공업,ok
2010,20100701,024110,기업은행,ok
2010,20100701,004020,현대제철,ok
2010,20100701,006400,삼성SDI,ok
2010,20100701,086790,하나금융지주,ok
2010,20100701,000720,현대건설,ok
2010,20100701,010060,OCI,ok
2010,20100701,003490,대한항공,ok
2010,20100701,090430,아모레퍼시픽,ok
2010,20100701,029780,삼성카드,ok
2010,20100701,010950,S-Oil,ok
2010,20100701,012450,삼성테크윈,ok
2010,20100701,051900,LG생활건강,ok
2010,20100701,010140,삼성중공업,ok
2010,20100701,011200,현대상선,ok
2010,20100701,086280,글로비스,ok
2010,20100701,011170,호남석유,ok
2010,20100701,001300,제일모직,ok
2010,20100701,028050,삼성엔지니어링,ok
2010,20100701,036570,엔씨소프트,ok
2010,20100701,010130,고려아연,ok
2010,20100701,000240,한국타이어,ok
2010,20100701,003600,SK,ok
2010,20100701,032640,LG텔레콤,ok
2010,20100701,035250,강원랜드,ok
2010,20100701,006360,GS건설,ok
2010,20100701,006800,대우증권,ok
2010,20100701,016360,삼성증권,ok
2010,20100701,078930,GS,ok
2010,20100701,042660,대우조선해양,ok
2010,20100701,047040,대우건설,ok
2010,20100701,036460,한국가스공사,ok
2010,20100701,042670,두산인프라코어,ok
2010,20100701,047050,대우인터내셔널,ok
2010,20100701,021240,웅진코웨이,ok
2010,20100701,002380,KCC,ok
2010,20100701,011070,LG이노텍,ok
2010,20100701,006260,LS,ok
2010,20100701,004800,효성,ok
2010,20100701,000880,한화,ok
2010,20100701,000150,두산,ok
